# 29/06/2020 10:34:07 AM : Aggregated Curves - EPEX Spot Market Auction - germany_luxembourg
Date,Week,Week Day,Hour,Price,Volume,Sale/Purchase
30/06/2020,27,2,1,27.70,24861.6,Sell
30/06/2020,27,2,1,27.80,24878.6,Sell
30/06/2020,27,2,1,27.90,24895.6,Sell
30/06/2020,27,2,1,28.00,24912.6,Sell
30/06/2020,27,2,1,28.10,24926.6,Sell
30/06/2020,27,2,1,28.20,24933.6,Sell
30/06/2020,27,2,1,28.30,24939.6,Sell
30/06/2020,27,2,1,28.40,24963.3,Sell
30/06/2020,27,2,1,28.50,24969.3,Sell
30/06/2020,27,2,1,28.60,24982.1,Sell
30/06/2020,27,2,1,28.70,24988.1,Sell
30/06/2020,27,2,1,28.80,24993.2,Sell
30/06/2020,27,2,1,28.90,25005.2,Sell
30/06/2020,27,2,1,29.00,25010.2,Sell
30/06/2020,27,2,1,29.10,25052.2,Sell
30/06/2020,27,2,1,29.20,25057.2,Sell
30/06/2020,27,2,1,29.40,25067.2,Sell
30/06/2020,27,2,1,29.50,25073.6,Sell
30/06/2020,27,2,1,29.60,25078.6,Sell
30/06/2020,27,2,1,29.70,25169.6,Sell
30/06/2020,27,2,1,29.90,25179.6,Sell
30/06/2020,27,2,1,30.00,25184.6,Sell
30/06/2020,27,2,1,30.10,25186.3,Sell
30/06/2020,27,2,1,30.20,25187.0,Sell
30/06/2020,27,2,1,30.40,25188.5,Sell
30/06/2020,27,2,1,30.70,25190.7,Sell
30/06/2020,27,2,1,30.80,25191.5,Sell
30/06/2020,27,2,1,30.90,25192.3,Sell
30/06/2020,27,2,1,31.00,25193.0,Sell
30/06/2020,27,2,1,31.10,25279.0,Sell
30/06/2020,27,2,1,31.20,25289.0,Sell
30/06/2020,27,2,1,31.50,25319.1,Sell
30/06/2020,27,2,1,31.60,25336.1,Sell
30/06/2020,27,2,1,31.70,25351.4,Sell
30/06/2020,27,2,1,31.90,25371.4,Sell
30/06/2020,27,2,1,32.00,25381.4,Sell
30/06/2020,27,2,1,32.10,25386.3,Sell
30/06/2020,27,2,1,32.20,25391.2,Sell
30/06/2020,27,2,1,32.30,25450.1,Sell
30/06/2020,27,2,1,32.40,25455.0,Sell
30/06/2020,27,2,1,32.50,25621.9,Sell
30/06/2020,27,2,1,32.60,25626.9,Sell
30/06/2020,27,2,1,32.70,25701.8,Sell
30/06/2020,27,2,1,33.00,25716.5,Sell
30/06/2020,27,2,1,33.10,25872.0,Sell
30/06/2020,27,2,1,33.20,25879.2,Sell
30/06/2020,27,2,1,33.30,25886.4,Sell
30/06/2020,27,2,1,33.40,26066.6,Sell
30/06/2020,27,2,1,33.50,26074.7,Sell
30/06/2020,27,2,1,33.60,26136.9,Sell
30/06/2020,27,2,1,33.70,26144.1,Sell
30/06/2020,27,2,1,33.80,26151.4,Sell
30/06/2020,27,2,1,33.90,26175.6,Sell
30/06/2020,27,2,1,34.00,26206.1,Sell
30/06/2020,27,2,1,34.10,26233.3,Sell
30/06/2020,27,2,1,34.20,26244.1,Sell
30/06/2020,27,2,1,34.70,26301.2,Sell
30/06/2020,27,2,1,34.80,26366.9,Sell
30/06/2020,27,2,1,34.90,26378.3,Sell
30/06/2020,27,2,1,35.00,26389.7,Sell
30/06/2020,27,2,1,35.10,26430.7,Sell
30/06/2020,27,2,1,35.20,26441.7,Sell
30/06/2020,27,2,1,35.70,26494.9,Sell
30/06/2020,27,2,1,36.00,26526.8,Sell
30/06/2020,27,2,1,36.10,26529.1,Sell
30/06/2020,27,2,1,36.20,26529.3,Sell
30/06/2020,27,2,1,36.30,26529.6,Sell
30/06/2020,27,2,1,36.40,26529.8,Sell
30/06/2020,27,2,1,36.50,26530.0,Sell
30/06/2020,27,2,1,36.70,26530.4,Sell
30/06/2020,27,2,1,36.80,26530.6,Sell
30/06/2020,27,2,1,36.90,26554.0,Sell
30/06/2020,27,2,1,37.00,26554.2,Sell
30/06/2020,27,2,1,37.10,26576.2,Sell
30/06/2020,27,2,1,37.20,26577.3,Sell
30/06/2020,27,2,1,37.60,26581.4,Sell
30/06/2020,27,2,1,37.70,26601.4,Sell
30/06/2020,27,2,1,38.00,26604.4,Sell
30/06/2020,27,2,1,38.10,26748.0,Sell
30/06/2020,27,2,1,38.20,26752.5,Sell
30/06/2020,27,2,1,38.30,26757.0,Sell
30/06/2020,27,2,1,38.40,26761.5,Sell
30/06/2020,27,2,1,38.70,26775.0,Sell
30/06/2020,27,2,1,38.90,26784.0,Sell
30/06/2020,27,2,1,39.00,26788.5,Sell
30/06/2020,27,2,1,39.20,26797.5,Sell
30/06/2020,27,2,1,39.70,26819.9,Sell
30/06/2020,27,2,1,39.80,26824.4,Sell
30/06/2020,27,2,1,39.90,26828.9,Sell
30/06/2020,27,2,1,40.00,26833.4,Sell
30/06/2020,27,2,1,40.10,26833.6,Sell
30/06/2020,27,2,1,40.20,26833.7,Sell
30/06/2020,27,2,1,40.70,26834.3,Sell
30/06/2020,27,2,1,41.00,26834.7,Sell
30/06/2020,27,2,1,41.20,26876.6,Sell
30/06/2020,27,2,1,41.40,26918.5,Sell
30/06/2020,27,2,1,41.50,26939.4,Sell
30/06/2020,27,2,1,41.60,26960.4,Sell
30/06/2020,27,2,1,41.70,26981.4,Sell
30/06/2020,27,2,1,41.80,27002.3,Sell
30/06/2020,27,2,1,41.90,27023.3,Sell
30/06/2020,27,2,1,42.00,27044.2,Sell
30/06/2020,27,2,1,42.10,27045.2,Sell
30/06/2020,27,2,1,42.20,27046.1,Sell
30/06/2020,27,2,1,42.70,27050.9,Sell
30/06/2020,27,2,1,42.80,27051.8,Sell
30/06/2020,27,2,1,42.90,27052.8,Sell
30/06/2020,27,2,1,43.00,27053.7,Sell
30/06/2020,27,2,1,43.10,27054.7,Sell
30/06/2020,27,2,1,43.20,27092.6,Sell
30/06/2020,27,2,1,43.30,27093.6,Sell
30/06/2020,27,2,1,43.40,27094.5,Sell
30/06/2020,27,2,1,43.70,27097.4,Sell
30/06/2020,27,2,1,43.80,27098.3,Sell
30/06/2020,27,2,1,43.90,27099.3,Sell
30/06/2020,27,2,1,44.00,27100.2,Sell
30/06/2020,27,2,1,44.10,27100.3,Sell
30/06/2020,27,2,1,44.20,27100.4,Sell
30/06/2020,27,2,1,45.10,27100.4,Sell
30/06/2020,27,2,1,45.20,27122.4,Sell
30/06/2020,27,2,1,49.00,27122.4,Sell
30/06/2020,27,2,1,49.50,27272.4,Sell
30/06/2020,27,2,1,49.60,27328.4,Sell
30/06/2020,27,2,1,49.70,27358.4,Sell
30/06/2020,27,2,1,49.80,27388.4,Sell
30/06/2020,27,2,1,49.90,27418.4,Sell
